alpha,beta,rho,sigma_M,sigma_R,ll_rw,ll_par,lrt
-40.23104099755608,1.4316182883337463,0.3149386777543013,0.0,1.3746589318038391,-15.633769019837867,-15.633769019837867,0.0
-45.9826958972656,0.9099285369472162,0.5603482076625936,0.0016797699823656274,-0.9181783772789223,-16.245096417295592,-12.001909369379787,-4.243187047915805
