alpha,beta,rho,sigma_M,sigma_R,ll_par,ll_rw,lrt
1.285686254297289,0.9886504798165657,0.9831911387393787,0.7464393386488181,0.6383314582672733,-694.882922713524,-695.3954663529295,-0.5125436394055214
-2.441743242337054,1.015252593873002,0.9985340143446109,0.9846933621552735,0.36613421727413165,-731.5488501746167,-731.9331496693667,-0.3842994947499392
3.3012781214342937,0.9744821739947567,0.5970740403077657,0.0001,1.0093914553233665,-712.71479543888,-712.7147954165687,2.231126927654259e-08
-0.5618076606614864,1.0078261065038017,0.5895332930414664,0.19708552565036477,0.9890771445293749,-712.2011068935687,-712.4115670065103,-0.21046011294151867
0.23243175575606756,0.9892374565554743,0.7980379848754743,0.0001,0.9905377300399856,-702.0176328486407,-702.0157892149437,0.0018436336970353295
2.3331104831972027,0.9846540978269493,0.8905441211702643,0.8376247954459908,0.41698499988660587,-673.0980373503355,-679.1848018440417,-6.086764493706141
5.233575963638657,0.9300018897241501,0.5603502847156624,0.5346212939316913,0.8120481047181167,-693.5415643732578,-695.4952690089784,-1.953704635720669
3.8212911811047876,0.9715642626247248,0.9954606622514458,0.8972203411878242,0.44755997291048,-710.8735773920328,-711.2976266859773,-0.42404929394456303
-1.8869042818391364,1.0151930327505057,0.8205951977793,0.6332748682803806,0.7985119586399292,-717.6595176013312,-718.8301013881209,-1.1705837867896207
0.3517797505350302,0.9872068427368009,-1.0,0.0021040970462672367,0.9961877854494149,-702.9878303828477,-703.880213863297,-0.8923834804492117
1.9839969119436547,0.9836355905538043,-0.9999923803798327,0.0008292077457259105,1.0199899416048919,-719.3627364518111,-719.3915980538864,-0.028861602075267
-1.974905303611714,1.0149926873677024,0.7679835588437146,0.4542414790635375,0.8634573510623966,-695.3950529236067,-695.4884672813995,-0.09341435779276708
-0.2436453985434639,1.0053772405381365,0.9950738600551574,0.820549044318329,0.5599003794747214,-703.4509526435115,-703.6494690489765,-0.1985164054649431
-2.2101836170042333,1.0299314743163543,0.5385278993438066,0.3406654280599068,0.9622485944879178,-717.4036610327408,-717.4588160314171,-0.05515499867624385
-0.01558797153423086,0.9924305014498517,-0.32508534439001807,0.16449793456308215,1.029780755802184,-726.0910427678913,-726.5149379434654,-0.4238951755741027
2.692842429970615,0.9692862118750974,0.7225691844117046,0.5131046293493728,0.814128220203351,-688.1404477206626,-688.7056047955446,-0.565157074881995
-2.309121404682159,1.0149581875791989,0.9815110986122468,0.9372888034328378,0.3062579784409678,-701.1815167320472,-702.2191990063109,-1.037682274263716
0.2791554852976077,0.9857751737487116,-0.9997189684564702,0.0013906220675250144,0.9879461076894027,-702.468933864781,-702.8180354536908,-0.3491015889097753
-1.4875339469023965,1.0036530756673288,0.9811063030882772,0.45057935368306845,0.8693905406249836,-695.8979833188592,-695.9225185492188,-0.024535230359560956
1.2213912360313166,0.9875884981933777,0.9578818594525781,0.5887554535453795,0.8306546946877251,-715.6237712996297,-715.9498823141079,-0.3261110144782151
-0.9580848179113985,1.0087977399314165,0.5133145936734049,0.4335669984522264,0.8623975314631178,-687.2739762760167,-687.7334621919648,-0.4594859159481075
2.0031205284729765,0.9681659504731223,0.9593533018167331,0.8336601935094171,0.5448220101266461,-704.9911750275519,-706.3896776326172,-1.398502605065346
0.4399747134343386,1.013114622063367,1.0,0.6148776671668662,0.7743410751907082,-702.4025066576396,-702.4267290274681,-0.02422236982852155
1.8739295321113332,0.9831679506709233,0.9851197929673488,0.7672401839260148,0.6999274936328621,-723.8303608957968,-724.1606472059549,-0.3302863101580442
-0.3210952944524337,1.0005825167489544,-0.1801491427543004,0.26516532350203276,0.9490841232152105,-700.507958575299,-703.151212023892,-2.6432534485929864
-0.11378621076055634,1.0124297961815836,-0.06592399085302718,0.22538684016663574,0.9899920463711491,-713.5900835737255,-714.8089480937734,-1.2188645200479868
-3.6193026052550437,1.0347021914762524,-0.8457437394013324,0.05503573755064584,1.038404382574862,-724.119801229549,-724.9151376628256,-0.7953364332765887
-2.9011022123292207,1.0220339416527,0.29218603752073047,0.38923733958772416,0.9347299539631703,-715.0924048811855,-716.3329820602473,-1.2405771790618019
3.8896916414361566,0.9668835085265736,0.9815033437190399,0.890077329195805,0.4885031944755031,-714.8997806967075,-715.8542741915774,-0.9544934948698938
8.266581400121382,0.9290777820806106,0.5117260514705064,0.43505814508616997,0.8973013101068121,-706.4728917490457,-707.2753073293644,-0.8024155803186659
-1.84645056311917,0.9964588533381429,0.9815935926799035,0.3678126453285146,0.9013633887570839,-694.487239637679,-694.5227622340327,-0.03552259635375776
0.11689069835688315,1.0133731353425364,-0.36469242764796966,0.1192329035381742,0.9604494601086278,-687.8666705100756,-688.1814301292711,-0.31475961919556994
-1.7363313120720818,1.0180014886045459,0.9852477176481425,0.6406503790768202,0.835350377978214,-733.9463872176814,-734.1866756623767,-0.24028844469535215
-4.351193818121004,1.0220909906143913,0.8343285996622084,0.8255951799802912,0.6092524221073797,-716.1611683444288,-719.5105163356479,-3.3493479912191333
-2.71543380223612,1.0177830675723358,0.967602221550666,0.5820552616339257,0.7656984088577977,-688.6253802854029,-688.8330270528813,-0.2076467674784226
0.7269679756949083,0.987374813702215,0.9107741903403046,0.7765684858693719,0.5553001252447731,-684.9006439618039,-687.1310808325276,-2.230436870723679
-0.8672510297266172,1.0135960475819754,0.9911417873920304,0.893974883590791,0.5699164140782983,-737.4055253971314,-737.7127397331483,-0.3072143360168411
2.408065120661888,0.9690514938998163,0.5600911969783032,0.3104400400416356,0.9035223946667386,-685.4364227352107,-685.915851602197,-0.4794288669862681
