alpha,beta,rho,sigma_M,sigma_R,ll_par,ll_rw,lrt
-0.5094086377012801,1.0121713249599977,0.9945706532454224,0.7803165809192946,0.5544668774908075,-342.9472733032418,-343.06851479455196,-0.12124149131017248
1.5431712640945545,0.9948409302473538,1.0,0.34724363350712223,0.9946746893574936,-366.3025053387787,-366.30716825001593,-0.004662911237232947
-0.9821559894442373,1.0220320592413275,-0.26944622523485584,0.14031765646135555,1.0015396916276826,-356.0411285324868,-356.1090651649844,-0.067936632497549
1.6152158338456957,0.9892317654459608,0.9882616173614778,0.9284260624164425,0.3734710330700025,-353.1450727987464,-353.38120715704497,-0.2361343582985569
-0.8809778407635207,1.0131003885392447,0.9683504007581658,0.847221519784594,0.4397014149109065,-341.49409843644105,-342.4409987266907,-0.94690029024963
-2.0653398284460613,1.0320799798486253,0.8031815651012841,0.5110157235039013,0.8351766396987205,-347.93146720367827,-348.24562075438223,-0.31415355070396345
0.46801252648376135,0.9876873539002925,-0.27026994457463316,0.0001,1.059642124523496,-367.73878396832845,-367.73878369643813,2.7189031470697955e-07
-0.9467569627031196,1.0087193132127714,-0.9995541521511,0.00436483771164694,0.926331179540774,-337.73456677317597,-337.88198869591474,-0.14742192273877208
0.02671049820476412,1.0117027088498556,0.9837303490401214,0.9387139131571186,0.4328894540879532,-361.4824493734119,-361.7985540699477,-0.31610469653583095
-1.1702859452243284,1.0085715799032926,0.8843573503773172,0.870361126432786,0.42720713224575013,-344.673578829371,-347.3352787405317,-2.6616999111606674
-0.660202100032393,1.0060553632355564,-0.4876294385149958,0.09883320322252594,1.0314341627946697,-361.7287561914691,-361.9820275674306,-0.2532713759615035
0.8581541246524012,1.0175460385762496,1.0,0.7577588396789173,0.5921242731953646,-344.10758523207306,-344.1064868079544,0.0010984241186520194
-3.411649605696976,1.0236000561449048,0.9056340661668028,0.670593154417747,0.7140003510907798,-348.20026448958686,-348.8706956110144,-0.6704311214275549
-0.2954151315952433,1.011852670289264,0.5086423176755893,0.45185057006224805,0.8420053558834839,-342.0146019653612,-342.8431522371084,-0.8285502717472468
3.6830433772306463,0.9798034398566021,-0.09091597019462166,0.0001,0.9723260802336431,-346.3264104515402,-346.3264103475017,1.0403852002127678e-07
-0.0801907702461169,1.0091074600231482,1.0,0.1907721687730674,0.8967406156628815,-332.06719181188754,-332.1446214951189,-0.07742968323134392
2.92086916187138,0.9831576194087268,0.9738545705525787,1.0076834315484995,0.20413524971128955,-359.7791860654871,-360.91496936370015,-1.1357832982130276
0.4030432562340849,0.995425767864703,0.9529608237527943,0.56620828180986,0.7194840575024252,-330.0377756297024,-330.3817844190638,-0.34400878936139634
-1.6217856753644009,1.0367339716604984,0.8173015172280905,0.7657859451816244,0.8477081076621856,-386.81017763157763,-387.8947196262123,-1.0845419946346624
0.8449593138916782,1.000823246333771,0.9909784986458205,0.8661868282533101,0.479820500256363,-350.7198542253715,-350.81238425763985,-0.09253003226837109
-3.661234433397496,1.0249858104600307,0.9680829169964796,0.9453087388622026,0.32753023588118957,-351.9305387075568,-352.99985220653696,-1.0693134989801365
2.122616862739463,0.9848435277113895,0.9833209225555485,0.17030045833715954,0.9903906866529341,-354.0860029532804,-354.11028804076557,-0.024285087485168333
-7.0357058767941965,1.0851795888638267,0.7676261134157597,0.4479815569879214,0.8805243828842271,-349.9594694994018,-350.5182538041021,-0.5587843047002821
-4.190855783375041,1.029586296376331,0.9484878830463844,0.815958588941921,0.49977499290514465,-342.3248604791661,-343.12674519192103,-0.8018847127549407
1.3367959750802423,0.9864356581128386,0.9316233543577531,0.7998569259884014,0.5623814669520844,-347.52503548628596,-348.54043082332794,-1.01539533704198
2.6124266320566534,0.9781012266913897,0.6264531702928503,0.6787464568150838,0.857215327243345,-375.6893571605806,-377.13677281850954,-1.447415657928957
-2.408844925440335,1.0265308831977702,0.2791016378752424,0.41511713779473036,0.8557248743515012,-339.3639961323365,-340.6895256970495,-1.3255295647129515
-4.110268383056692,1.0599754657256844,-0.15602152230900337,0.19115389916593772,1.0244770134288885,-362.67810695864705,-362.9465883713409,-0.26848141269385906
-0.417475751328638,0.9870995970753518,0.09393708470320351,0.0001,0.9913796568583791,-351.1534240250425,-351.15342375630564,2.6873686920225737e-07
-2.1978271021061317,1.028870346642639,0.9785340441413551,0.9106459500363372,0.30375240486293037,-343.00511894812286,-343.7715710737573,-0.7664521256344301
-0.06139736964591691,1.0001956037326947,0.8704829091953065,0.7001108659314843,0.7898933977984514,-366.6056848786394,-367.4509685327506,-0.8452836541111992
-3.1942210011794865,1.0206550838873578,0.8745912970547912,0.5454283436550964,0.8233986149824093,-346.87680188917835,-347.22365281508826,-0.3468509259099051
-1.0906237159074124,1.0187200791802635,0.9827051881649311,0.5399646565277825,0.697899784109422,-322.750986792297,-322.85626585827276,-0.10527906597576475
-1.991494611136844,1.0131719920586593,0.9574723610016663,0.7627634286876087,0.6487008345175886,-353.55652955153766,-354.03489569280066,-0.47836614126299537
3.1149281563284035,0.9792292390478144,0.04388324907978634,0.2349884789931114,0.9224492570076702,-340.4859395810534,-340.7927459822357,-0.30680640118231395
-0.07118677710661452,1.0070735363127725,0.6840095005174931,0.49214778035275875,0.7902197702838307,-334.5076816892114,-334.9383155372176,-0.4306338480062095
