alpha,beta,rho,sigma_M,sigma_R,ll_par,ll_rw,lrt
-2.9076808180740983,1.0187799560948718,-0.07291957590936536,0.0857386707462238,0.9797997394247971,-3504.410188193633,-3504.4483566783124,-0.03816848467931777
-0.03262266819757542,0.9976645437280932,0.9566224609253718,0.68665195550289,0.7368117799132281,-3559.287256833948,-3561.3876105668132,-2.1003537328651873
-0.4034009603991109,0.9944039132252365,0.9973453148213226,0.8993294276089348,0.4436915957351698,-3535.5194562405763,-3536.539876515834,-1.020420275257493
-0.45680681258834,0.9990376366523427,0.9992279646509041,0.5872758659478456,0.8198053152302192,-3558.8032548251103,-3560.676281799401,-1.8730269742904966
-0.3285588363295759,0.9976003068204979,0.8576123395661256,0.0001,0.9976070789300591,-3542.876876306118,-3542.875234242376,0.0016420637421106221
-0.020887812190680387,0.9959187555195713,0.43731835805326824,0.16423522431010895,0.985784787515405,-3544.7378811491844,-3545.3336809690454,-0.5957998198609857
-0.12442711210466939,0.9996629156211233,0.9996151884936666,0.9093340979181984,0.4021895174341672,-3530.3780728327865,-3532.57163715392,-2.1935643211336355
-2.4346422642831365,1.0221705941793346,0.996542875158466,0.6472766230493716,0.7426298539070094,-3501.4381465643555,-3501.8993857429678,-0.4612391786122316
0.2039359118659121,0.999023283837852,0.9758708707605325,0.65924860079375,0.7555335204778231,-3552.189765086204,-3552.7155650543955,-0.5257999681916772
0.19243203849136137,1.0062393979998585,-0.9994274474058655,0.0017994152754202243,0.9873085925149682,-3508.2103791519858,-3508.852346674234,-0.641967522248251
-0.9682316991096798,1.0026524497774547,0.13208301243040144,0.15353925941409854,1.0085427971839036,-3581.937803278535,-3582.255383278507,-0.31757999997216757
0.16614513531699515,1.009666797213204,-0.33477750667512673,0.10171099432254911,0.9708637153226949,-3485.677679614161,-3486.4175862006623,-0.7399065865010925
0.5979039799698569,1.000469792375173,-0.4226329966275876,0.0001,1.0159847066467211,-3581.999736189675,-3581.9963405375584,0.0033956521165237064
